itemCode,itemName,itemType,categoryCode,baseUom,purchaseUom,conversionFactor,defaultLocationCode,preferredSupplierCode,supplierItemCode,lastPurchasePrice,purchaseTaxProfile,reorderLevel,minimumStockLevel,maximumStockLevel,isStockable,isRecipeIngredient,autoDeductionEnabled,standardYieldPercent,departmentUsageScope
RM0101,"Chicken Boneless (Thigh & Breast)",Raw Material,CAT-MEAT,KG,KG,1,LOC-CHILL,SUP-001,SKU-CHK-BL,280.00,5% GST,15.0,8.0,60.0,TRUE,TRUE,TRUE,90.0,KITCHEN
RM0102,"Whole Chicken (Curry Cut)",Raw Material,CAT-MEAT,KG,KG,1,LOC-CHILL,SUP-001,SKU-CHK-WHL,220.00,5% GST,10.0,5.0,40.0,TRUE,TRUE,TRUE,85.0,KITCHEN
RM0103,"Chicken Mince (Keema)",Raw Material,CAT-MEAT,KG,KG,1,LOC-CHILL,SUP-001,SKU-CHK-MNC,310.00,5% GST,8.0,4.0,30.0,TRUE,TRUE,TRUE,95.0,KITCHEN
RM0104,"Chicken Wings & Lollipops",Raw Material,CAT-MEAT,KG,KG,1,LOC-CHILL,SUP-001,SKU-CHK-WNG,240.00,5% GST,10.0,5.0,40.0,TRUE,TRUE,TRUE,85.0,KITCHEN
RM0105,"Mutton Curry Cut (Bone-in)",Raw Material,CAT-MEAT,KG,KG,1,LOC-CHILL,SUP-001,SKU-MUT-CUT,750.00,5% GST,12.0,6.0,45.0,TRUE,TRUE,TRUE,80.0,KITCHEN
RM0106,"Mutton Mince (Keema)",Raw Material,CAT-MEAT,KG,KG,1,LOC-CHILL,SUP-001,SKU-MUT-MNC,820.00,5% GST,8.0,4.0,30.0,TRUE,TRUE,TRUE,95.0,KITCHEN
RM0107,"Mutton Paya (Trotters for Broth)",Raw Material,CAT-MEAT,KG,KG,1,LOC-CHILL,SUP-001,SKU-MUT-PAYA,450.00,5% GST,6.0,3.0,20.0,TRUE,TRUE,TRUE,75.0,KITCHEN
RM0201,"Bombil / Bombay Duck (Fresh)",Raw Material,CAT-SEAFOOD,KG,KG,1,LOC-CHILL,SUP-002,SKU-FISH-BMB,320.00,5% GST,10.0,5.0,30.0,TRUE,TRUE,TRUE,75.0,KITCHEN
RM0202,"Surmai / Seer Fish (King Mackerel)",Raw Material,CAT-SEAFOOD,KG,KG,1,LOC-CHILL,SUP-002,SKU-FISH-SUR,950.00,5% GST,10.0,5.0,35.0,TRUE,TRUE,TRUE,80.0,KITCHEN
RM0203,"Pomfret (Silver / Black)",Raw Material,CAT-SEAFOOD,KG,KG,1,LOC-CHILL,SUP-002,SKU-FISH-POM,1100.00,5% GST,8.0,4.0,25.0,TRUE,TRUE,TRUE,75.0,KITCHEN
